,meta,goog,amzn,nflx,aapl
10,,,,,
15,,,,,
20,,,,,
25,,,,,
30,4.099742314062593,2.1071625433082466,3.184402383238665,8.169126662980663,3.5580267199451954
35,4.270633459704574,2.143384696421031,3.2096083404822195,7.987150304622462,3.502459939002043
40,4.466644801255974,2.2065311829352936,3.242666038602484,7.90742926550741,3.4997193241948437
45,4.409686305475808,2.1942457529038224,3.167294680706904,7.694763448009698,3.388197252737446
50,4.393516135060699,2.1842400645009206,3.117860352008731,7.494377215085256,3.290893275470192
55,4.458443341089092,2.246354045313045,3.224466636001714,7.383080361422621,3.242178032992544
60,4.586439035629963,2.290429878349997,3.293837973441815,7.276037191865906,3.1819490068755405
65,4.734245092835385,2.345792887683631,3.368903077081695,7.258410151027898,3.14222064076139
70,4.855225862453942,2.41323514283758,3.4377141038674517,7.19810939827916,3.1068036907193917
75,5.005839826330053,2.509372316845027,3.514044039338811,7.18178213061095,3.074780831418097
80,5.094476593524281,2.5592482641888665,3.4776749366059407,7.162980439463787,3.0442822574482236
85,5.167046807066605,2.583442336315727,3.47414132612652,7.156768780727225,3.0398438760416204
90,5.24432152295778,2.6090863923716907,3.4767906962048274,7.131831439416663,3.050892582367187
95,5.327795300132825,2.6257384658167324,3.49394592357282,7.118575281371344,3.070807636604301
100,5.420590443102124,2.636938686999731,3.5119447191969484,7.1212252695613305,3.116504655824869
105,5.511359983342305,2.6425773000811654,3.54079845139952,7.160881092231968,3.175331429220631
110,5.5894749955813925,2.6516104040358455,3.561452704058788,7.170103154571349,3.2442087536284547
115,5.794895453729535,2.67228678006337,3.6775770897494384,7.201652821532012,3.320322271837816
120,6.044892235356329,2.7060356795155758,3.7970665829987036,8.45813799464273,3.39716838393323
125,6.24103982011343,2.7245363797705626,3.907935115380431,9.673088190839234,3.4469032472887164
130,6.426325062705452,2.7512371657984596,4.0120750442505075,10.843219573375201,3.4744661613236354
135,6.5610257594175225,2.7633314779827054,4.091704464112771,11.984616725256041,3.4691890647851826
140,6.546648157241722,2.763066335869074,4.075298597243849,13.074329792008992,3.4508016898703042
145,6.50397320890593,2.7507222103893496,4.055792624086921,12.952915655670797,3.4319406903767713
150,6.4728411155340115,2.749832050491976,4.040397330706328,12.864465832265449,3.4225015521806386
155,6.460485589769641,2.7467078953753337,4.030138966338788,12.783241189809772,3.412840021563599
160,6.445579380409844,2.7473817089678323,4.027473959760031,12.713834753978457,3.4038802167770896
165,6.436224865919009,2.7503466541204684,4.024846459304124,12.66200515585354,3.3963259016532303
170,6.4367223658674035,2.7576142757008415,4.0149763107921705,12.601348912458407,3.386929308566333
175,6.974367152114124,2.7795418174138633,4.066347257185646,12.692886246488055,3.3678547213222054
180,7.491392544689833,2.800710501146616,4.109238450265149,12.822932478731179,3.3642300415887227
185,8.016806972486691,2.820613907830638,4.155740983439433,13.392816357086028,3.360044836907721
190,8.532885774671612,2.8364102638929247,4.203685894052336,13.95837258070886,3.354737292264216
195,9.02499309068594,2.8510992924135756,4.2496695284643025,14.532284426631284,3.352110612913905
200,8.972917558902502,2.838077411675561,4.223859189538212,14.920472988906502,3.3484872680494733
205,8.924762207768268,2.822754147757789,4.1988162948396095,15.268262933385405,3.3352735243753218
210,8.860261157481123,2.8052691773529026,4.163839765981484,15.153300111704112,3.327510901720738
215,8.805121553470284,2.7907498518811296,4.130233578383051,15.043120338964314,3.3270306425010348
220,8.761379332938157,2.7751588881801617,4.098257823551751,14.942971055191723,3.327552840857885
225,8.716246038406627,2.7617644931823797,4.076275947062271,14.86405698892616,3.330491954712541
230,8.677596835447803,2.747978132350668,4.054064896271444,14.801278429787729,3.325786355441527
235,8.640651694345078,2.7335077779308024,4.035722931659394,14.760353918575902,3.313207811330083
240,8.600572844019712,2.7269877455335374,4.0179373940718355,14.722757993734609,3.2953315337718414
245,8.561120678011418,2.71754316696454,4.00052334191478,14.68667496910937,3.2698691014362042
250,8.527401564020565,2.709328330139539,3.9788978721729436,14.64271230086413,3.24319937338315
255,8.482847251851117,2.700996964761477,3.9563854464034187,14.578610100032767,3.2162236653702214
260,8.452460899372147,2.696548797218246,3.9310520586839566,14.525826416574835,3.1921690348202247
265,8.437268148410643,2.685735578141969,3.906430566957811,14.472062584015726,3.168527395834532
270,8.407714531481895,2.6751151034453664,3.882209535902713,14.39521886439933,3.1477115341399022
275,8.373386349047106,2.664298910041359,3.8556998607056356,14.324835513867749,3.1292287590832304
280,8.342705643355078,2.652864059067275,3.829724843256326,14.266966107196652,3.1120459809109797
285,8.304946443364376,2.6392602402652456,3.804038375998182,14.177409294255309,3.095816841606812
290,8.254194176735206,2.6232667602443898,3.778693113684124,14.09403910136981,3.079971610174744
295,8.198897239173126,2.6053310420541314,3.7513680803130085,14.008782906831673,3.064103618728405
300,8.147484358334097,2.586583903869709,3.7249144202236506,13.922146132546908,3.045567837565508
305,8.106008964079091,2.5692631309890173,3.7162109584309335,13.827227761943538,3.0274898417586185
310,8.076059868082249,2.554979906779434,3.707432046041878,13.738504821715111,3.0093825398908685
315,8.04524625561389,2.540626819930798,3.6987790732655044,13.645037704429068,2.993173519051796
320,8.017365111079881,2.5270036793733355,3.6965020442665364,13.556060387243548,2.9777028419386946
325,7.998309946909208,2.5145325322968466,3.6957762027031813,13.468358458906366,2.9636356026014345
330,7.9706735340884745,2.501358346461288,3.679482887445178,13.38827298156913,2.9497679693661523
335,7.932561633860689,2.485009862739374,3.664145038370658,13.307944670634862,2.935822530925545
340,7.8957672180466885,2.46839553329752,3.649519385701761,13.225030416141475,2.9190827391951375
345,7.859354359336942,2.4526907002665137,3.6298459394296456,13.1439391803707,2.901988928803431
350,7.817354299256339,2.438033574881723,3.6100813291417864,13.063773686255079,2.884881514529534
355,7.780712158988922,2.425117385296528,3.5905146624257305,12.985118387894516,2.8691601082056537
360,7.7469683244612195,2.4152407771809603,3.5731490779221766,12.91380350915038,2.8549584479839965
365,7.714654777601639,2.4060506895942337,3.5572877941613212,12.846066380501657,2.8436664014440085
370,7.700732843011664,2.399264321093871,3.542765628286842,12.77830036603345,2.8324615217982663
375,7.6850446327534145,2.3913401534493355,3.5288071830681047,12.748064280030535,2.821310879871729
380,7.666166308266125,2.3830218142062045,3.516082355394011,12.719144529557438,2.8118698371577873
385,7.647031212470073,2.3757525495024256,3.5027561189314556,12.689105684175413,2.801763976497438
390,7.630630955120779,2.3680917084049637,3.487666720154484,12.666668196086729,2.7898345969962652
395,7.604427330080779,2.358595286497401,3.474893070064952,12.662399319491211,2.7808893174553444
400,7.583866882364998,2.351043657106903,3.462384535861774,12.630104129188878,2.7731486437444537
405,7.569221600438541,2.345946164802079,3.4507734988546055,12.609403205263009,2.767516635186918
